日期,颜色代码,花粉等级,城市ID,等级描述,城市代码,城市
2025-03-21,#81CB31,很低,101090711,不易引发过敏反应。,botou,泊头
2025-03-20,#81CB31,很低,101090711,不易引发过敏反应。,botou,泊头
2025-03-19,#81CB31,很低,101090711,不易引发过敏反应。,botou,泊头
2025-03-18,#81CB31,很低,101090711,不易引发过敏反应。,botou,泊头
2025-03-17,#81CB31,很低,101090711,不易引发过敏反应。,botou,泊头
2025-03-16,#81CB31,很低,101090711,不易引发过敏反应。,botou,泊头
2025-03-23,#FF2319,很高,101070201,极易引发过敏，减少外出，持续规范用药。,dalian,大连
2025-03-22,#FFAF13,高,101070201,易引发过敏，加强防护，规范用药。,dalian,大连
2025-03-21,#FFAF13,高,101070201,易引发过敏，加强防护，规范用药。,dalian,大连
2025-03-20,#81CB31,很低,101070201,不易引发过敏反应。,dalian,大连
2025-03-19,#81CB31,很低,101070201,不易引发过敏反应。,dalian,大连
2025-03-18,#81CB31,很低,101070201,不易引发过敏反应。,dalian,大连
2025-03-17,#81CB31,很低,101070201,不易引发过敏反应。,dalian,大连
2025-03-16,#81CB31,很低,101070201,不易引发过敏反应。,dalian,大连
2025-03-23,#81CB31,很低,101120101,不易引发过敏反应。,jinan,济南
2025-03-22,#F5EE32,中,101120101,易引发过敏，加强防护，对症用药。,jinan,济南
2025-03-21,#F5EE32,中,101120101,易引发过敏，加强防护，对症用药。,jinan,济南
2025-03-20,#F5EE32,中,101120101,易引发过敏，加强防护，对症用药。,jinan,济南
2025-03-19,#81CB31,很低,101120101,不易引发过敏反应。,jinan,济南
2025-03-18,#81CB31,很低,101120101,不易引发过敏反应。,jinan,济南
2025-03-17,#81CB31,很低,101120101,不易引发过敏反应。,jinan,济南
2025-03-16,#81CB31,很低,101120101,不易引发过敏反应。,jinan,济南
2025-03-23,#FF2319,很高,101210101,极易引发过敏，减少外出，持续规范用药。,hangzhou,杭州
2025-03-22,#FF2319,很高,101210101,极易引发过敏，减少外出，持续规范用药。,hangzhou,杭州
2025-03-21,#FF2319,很高,101210101,极易引发过敏，减少外出，持续规范用药。,hangzhou,杭州
2025-03-20,#F5EE32,中,101210101,易引发过敏，加强防护，对症用药。,hangzhou,杭州
2025-03-19,#81CB31,很低,101210101,不易引发过敏反应。,hangzhou,杭州
2025-03-18,#F5EE32,中,101210101,易引发过敏，加强防护，对症用药。,hangzhou,杭州
2025-03-17,#A1FF3D,低,101210101,易引发轻度过敏，适当防护对症用药。,hangzhou,杭州
2025-03-16,#A1FF3D,低,101210101,易引发轻度过敏，适当防护对症用药。,hangzhou,杭州
2025-03-23,#81CB31,很低,101080301,不易引发过敏反应。,wuhai,乌海市
2025-03-22,#A1FF3D,低,101080301,易引发轻度过敏，适当防护对症用药。,wuhai,乌海市
2025-03-21,#A1FF3D,低,101080301,易引发轻度过敏，适当防护对症用药。,wuhai,乌海市
2025-03-20,#81CB31,很低,101080301,不易引发过敏反应。,wuhai,乌海市
2025-03-19,#81CB31,很低,101080301,不易引发过敏反应。,wuhai,乌海市
2025-03-18,#81CB31,很低,101080301,不易引发过敏反应。,wuhai,乌海市
2025-03-17,#81CB31,很低,101080301,不易引发过敏反应。,wuhai,乌海市
2025-03-16,#81CB31,很低,101080301,不易引发过敏反应。,wuhai,乌海市
2025-03-23,#FF2319,很高,101120501,极易引发过敏，减少外出，持续规范用药。,yantai,烟台
2025-03-22,#FF2319,很高,101120501,极易引发过敏，减少外出，持续规范用药。,yantai,烟台
2025-03-21,#FF2319,很高,101120501,极易引发过敏，减少外出，持续规范用药。,yantai,烟台
2025-03-20,#FF2319,很高,101120501,极易引发过敏，减少外出，持续规范用药。,yantai,烟台
2025-03-19,#81CB31,很低,101120501,不易引发过敏反应。,yantai,烟台
2025-03-18,#A1FF3D,低,101120501,易引发轻度过敏，适当防护对症用药。,yantai,烟台
2025-03-17,#FFAF13,高,101120501,易引发过敏，加强防护，规范用药。,yantai,烟台
2025-03-16,#F5EE32,中,101120501,易引发过敏，加强防护，对症用药。,yantai,烟台
2025-03-23,#FF2319,很高,101280101,极易引发过敏，减少外出，持续规范用药。,guangzhou,广州
2025-03-22,#FFAF13,高,101280101,易引发过敏，加强防护，规范用药。,guangzhou,广州
2025-03-21,#FFAF13,高,101280101,易引发过敏，加强防护，规范用药。,guangzhou,广州
2025-03-20,#FFAF13,高,101280101,易引发过敏，加强防护，规范用药。,guangzhou,广州
2025-03-19,#FFAF13,高,101280101,易引发过敏，加强防护，规范用药。,guangzhou,广州
2025-03-18,#F5EE32,中,101280101,易引发过敏，加强防护，对症用药。,guangzhou,广州
2025-03-17,#FFAF13,高,101280101,易引发过敏，加强防护，规范用药。,guangzhou,广州
2025-03-16,#F5EE32,中,101280101,易引发过敏，加强防护，对症用药。,guangzhou,广州
2025-03-23,#81CB31,很低,101090201,不易引发过敏反应。,baoding,保定
2025-03-22,#81CB31,很低,101090201,不易引发过敏反应。,baoding,保定
2025-03-21,#81CB31,很低,101090201,不易引发过敏反应。,baoding,保定
2025-03-20,#FFAF13,高,101090201,易引发过敏，加强防护，规范用药。,baoding,保定
2025-03-19,#81CB31,很低,101090201,不易引发过敏反应。,baoding,保定
2025-03-18,#81CB31,很低,101090201,不易引发过敏反应。,baoding,保定
2025-03-17,#81CB31,很低,101090201,不易引发过敏反应。,baoding,保定
2025-03-16,#FFAF13,高,101090201,易引发过敏，加强防护，规范用药。,baoding,保定
2025-03-23,#81CB31,很低,101190601,不易引发过敏反应。,yangzhou,扬州
2025-03-22,#A1FF3D,低,101190601,易引发轻度过敏，适当防护对症用药。,yangzhou,扬州
2025-03-21,#A1FF3D,低,101190601,易引发轻度过敏，适当防护对症用药。,yangzhou,扬州
2025-03-20,#81CB31,很低,101190601,不易引发过敏反应。,yangzhou,扬州
2025-03-19,#81CB31,很低,101190601,不易引发过敏反应。,yangzhou,扬州
2025-03-18,#81CB31,很低,101190601,不易引发过敏反应。,yangzhou,扬州
2025-03-17,#81CB31,很低,101190601,不易引发过敏反应。,yangzhou,扬州
2025-03-16,#81CB31,很低,101190601,不易引发过敏反应。,yangzhou,扬州
2025-03-23,#A1FF3D,低,101270501,易引发轻度过敏，适当防护对症用药。,nanchong,南充
2025-03-22,#F5EE32,中,101270501,易引发过敏，加强防护，对症用药。,nanchong,南充
2025-03-21,#F5EE32,中,101270501,易引发过敏，加强防护，对症用药。,nanchong,南充
2025-03-20,#FFAF13,高,101270501,易引发过敏，加强防护，规范用药。,nanchong,南充
2025-03-19,#A1FF3D,低,101270501,易引发轻度过敏，适当防护对症用药。,nanchong,南充
2025-03-18,#81CB31,很低,101270501,不易引发过敏反应。,nanchong,南充
2025-03-17,#81CB31,很低,101270501,不易引发过敏反应。,nanchong,南充
2025-03-16,#81CB31,很低,101270501,不易引发过敏反应。,nanchong,南充
2025-03-23,#C4A39F,暂无,101190201,,wuxi,无锡
2025-03-21,#C4A39F,暂无,101190201,,wuxi,无锡
2025-03-16,#C4A39F,暂无,101190201,,wuxi,无锡
2025-03-17,#C4A39F,暂无,101190201,,wuxi,无锡
2025-03-18,#C4A39F,暂无,101190201,,wuxi,无锡
2025-03-19,#C4A39F,暂无,101190201,,wuxi,无锡
2025-03-20,#C4A39F,暂无,101190201,,wuxi,无锡
2025-03-22,#C4A39F,暂无,101190201,,wuxi,无锡
2025-03-23,#FFAF13,高,101230101,易引发过敏，加强防护，规范用药。,fuzhou,福州
2025-03-22,#FFAF13,高,101230101,易引发过敏，加强防护，规范用药。,fuzhou,福州
2025-03-21,#FFAF13,高,101230101,易引发过敏，加强防护，规范用药。,fuzhou,福州
2025-03-20,#F5EE32,中,101230101,易引发过敏，加强防护，对症用药。,fuzhou,福州
2025-03-19,#FFAF13,高,101230101,易引发过敏，加强防护，规范用药。,fuzhou,福州
2025-03-18,#FF2319,很高,101230101,极易引发过敏，减少外出，持续规范用药。,fuzhou,福州
2025-03-17,#FF2319,很高,101230101,极易引发过敏，减少外出，持续规范用药。,fuzhou,福州
2025-03-16,#F5EE32,中,101230101,易引发过敏，加强防护，对症用药。,fuzhou,福州
2025-03-23,#FF2319,很高,101220101,极易引发过敏，减少外出，持续规范用药。,hefei,合肥
2025-03-22,#FF2319,很高,101220101,极易引发过敏，减少外出，持续规范用药。,hefei,合肥
2025-03-21,#FF2319,很高,101220101,极易引发过敏，减少外出，持续规范用药。,hefei,合肥
2025-03-20,#FFAF13,高,101220101,易引发过敏，加强防护，规范用药。,hefei,合肥
2025-03-19,#81CB31,很低,101220101,不易引发过敏反应。,hefei,合肥
2025-03-18,#A1FF3D,低,101220101,易引发轻度过敏，适当防护对症用药。,hefei,合肥
2025-03-17,#81CB31,很低,101220101,不易引发过敏反应。,hefei,合肥
2025-03-16,#81CB31,很低,101220101,不易引发过敏反应。,hefei,合肥
2025-03-23,#FF2319,很高,101300101,极易引发过敏，减少外出，持续规范用药。,nanning,南宁
2025-03-22,#FF2319,很高,101300101,极易引发过敏，减少外出，持续规范用药。,nanning,南宁
2025-03-21,#FF2319,很高,101300101,极易引发过敏，减少外出，持续规范用药。,nanning,南宁
2025-03-20,#FF2319,很高,101300101,极易引发过敏，减少外出，持续规范用药。,nanning,南宁
2025-03-19,#FF2319,很高,101300101,极易引发过敏，减少外出，持续规范用药。,nanning,南宁
2025-03-18,#FF2319,很高,101300101,极易引发过敏，减少外出，持续规范用药。,nanning,南宁
2025-03-17,#F5EE32,中,101300101,易引发过敏，加强防护，对症用药。,nanning,南宁
2025-03-16,#F5EE32,中,101300101,易引发过敏，加强防护，对症用药。,nanning,南宁
2025-03-23,#C4A39F,暂无,101140101,,lasa,拉萨
2025-03-16,#C4A39F,暂无,101140101,,lasa,拉萨
2025-03-17,#C4A39F,暂无,101140101,,lasa,拉萨
2025-03-18,#C4A39F,暂无,101140101,,lasa,拉萨
2025-03-19,#C4A39F,暂无,101140101,,lasa,拉萨
2025-03-20,#C4A39F,暂无,101140101,,lasa,拉萨
2025-03-21,#C4A39F,暂无,101140101,,lasa,拉萨
2025-03-22,#C4A39F,暂无,101140101,,lasa,拉萨
2025-03-23,#A1FF3D,低,101260101,易引发轻度过敏，适当防护对症用药。,guiyang,贵阳
2025-03-22,#F5EE32,中,101260101,易引发过敏，加强防护，对症用药。,guiyang,贵阳
2025-03-21,#F5EE32,中,101260101,易引发过敏，加强防护，对症用药。,guiyang,贵阳
2025-03-20,#F5EE32,中,101260101,易引发过敏，加强防护，对症用药。,guiyang,贵阳
2025-03-19,#F5EE32,中,101260101,易引发过敏，加强防护，对症用药。,guiyang,贵阳
2025-03-18,#81CB31,很低,101260101,不易引发过敏反应。,guiyang,贵阳
2025-03-17,#F5EE32,中,101260101,易引发过敏，加强防护，对症用药。,guiyang,贵阳
2025-03-16,#81CB31,很低,101260101,不易引发过敏反应。,guiyang,贵阳
2025-03-23,#FF2319,很高,101240101,极易引发过敏，减少外出，持续规范用药。,nanchang,南昌
2025-03-22,#FF2319,很高,101240101,极易引发过敏，减少外出，持续规范用药。,nanchang,南昌
2025-03-21,#FF2319,很高,101240101,极易引发过敏，减少外出，持续规范用药。,nanchang,南昌
2025-03-20,#FF2319,很高,101240101,极易引发过敏，减少外出，持续规范用药。,nanchang,南昌
2025-03-19,#FF2319,很高,101240101,极易引发过敏，减少外出，持续规范用药。,nanchang,南昌
2025-03-18,#FF2319,很高,101240101,极易引发过敏，减少外出，持续规范用药。,nanchang,南昌
2025-03-17,#FF2319,很高,101240101,极易引发过敏，减少外出，持续规范用药。,nanchang,南昌
2025-03-16,#A1FF3D,低,101240101,易引发轻度过敏，适当防护对症用药。,nanchang,南昌
2025-03-23,#C4A39F,暂无,101250101,,changsha,长沙
2025-03-16,#C4A39F,暂无,101250101,,changsha,长沙
2025-03-17,#C4A39F,暂无,101250101,,changsha,长沙
2025-03-18,#C4A39F,暂无,101250101,,changsha,长沙
2025-03-19,#C4A39F,暂无,101250101,,changsha,长沙
2025-03-20,#C4A39F,暂无,101250101,,changsha,长沙
2025-03-21,#C4A39F,暂无,101250101,,changsha,长沙
2025-03-22,#C4A39F,暂无,101250101,,changsha,长沙
2025-03-23,#81CB31,很低,101110300,不易引发过敏反应。,yanan,延安
2025-03-22,#C4A39F,暂无,101110300,,yanan,延安
2025-03-21,#C4A39F,暂无,101110300,,yanan,延安
2025-03-20,#C4A39F,暂无,101110300,,yanan,延安
2025-03-19,#C4A39F,暂无,101110300,,yanan,延安
2025-03-18,#81CB31,很低,101110300,不易引发过敏反应。,yanan,延安
2025-03-17,#C4A39F,暂无,101110300,,yanan,延安
2025-03-16,#FFAF13,高,101110300,易引发过敏，加强防护，规范用药。,yanan,延安
2025-03-23,#81CB31,很低,101260803,不易引发过敏反应。,liupanshui,六盘水
2025-03-22,#81CB31,很低,101260803,不易引发过敏反应。,liupanshui,六盘水
2025-03-21,#81CB31,很低,101260803,不易引发过敏反应。,liupanshui,六盘水
2025-03-20,#81CB31,很低,101260803,不易引发过敏反应。,liupanshui,六盘水
2025-03-19,#81CB31,很低,101260803,不易引发过敏反应。,liupanshui,六盘水
2025-03-18,#81CB31,很低,101260803,不易引发过敏反应。,liupanshui,六盘水
2025-03-17,#81CB31,很低,101260803,不易引发过敏反应。,liupanshui,六盘水
2025-03-16,#81CB31,很低,101260803,不易引发过敏反应。,liupanshui,六盘水
2025-03-23,#81CB31,很低,101110200,不易引发过敏反应。,xianyang,咸阳
2025-03-22,#A1FF3D,低,101110200,易引发轻度过敏，适当防护对症用药。,xianyang,咸阳
2025-03-21,#A1FF3D,低,101110200,易引发轻度过敏，适当防护对症用药。,xianyang,咸阳
2025-03-20,#A1FF3D,低,101110200,易引发轻度过敏，适当防护对症用药。,xianyang,咸阳
2025-03-19,#81CB31,很低,101110200,不易引发过敏反应。,xianyang,咸阳
2025-03-18,#81CB31,很低,101110200,不易引发过敏反应。,xianyang,咸阳
2025-03-17,#81CB31,很低,101110200,不易引发过敏反应。,xianyang,咸阳
2025-03-16,#81CB31,很低,101110200,不易引发过敏反应。,xianyang,咸阳
2025-03-23,#F5EE32,中,101270101,易引发过敏，加强防护，对症用药。,chengdu,成都
2025-03-22,#FFAF13,高,101270101,易引发过敏，加强防护，规范用药。,chengdu,成都
2025-03-21,#FFAF13,高,101270101,易引发过敏，加强防护，规范用药。,chengdu,成都
2025-03-20,#A1FF3D,低,101270101,易引发轻度过敏，适当防护对症用药。,chengdu,成都
2025-03-19,#FFAF13,高,101270101,易引发过敏，加强防护，规范用药。,chengdu,成都
2025-03-18,#F5EE32,中,101270101,易引发过敏，加强防护，对症用药。,chengdu,成都
2025-03-17,#A1FF3D,低,101270101,易引发轻度过敏，适当防护对症用药。,chengdu,成都
2025-03-16,#A1FF3D,低,101270101,易引发轻度过敏，适当防护对症用药。,chengdu,成都
2025-03-23,#81CB31,很低,101020100,不易引发过敏反应。,shanghai,上海
2025-03-22,#FFAF13,高,101020100,易引发过敏，加强防护，规范用药。,shanghai,上海
2025-03-21,#FFAF13,高,101020100,易引发过敏，加强防护，规范用药。,shanghai,上海
2025-03-20,#81CB31,很低,101020100,不易引发过敏反应。,shanghai,上海
2025-03-19,#81CB31,很低,101020100,不易引发过敏反应。,shanghai,上海
2025-03-18,#81CB31,很低,101020100,不易引发过敏反应。,shanghai,上海
2025-03-17,#81CB31,很低,101020100,不易引发过敏反应。,shanghai,上海
2025-03-16,#81CB31,很低,101020100,不易引发过敏反应。,shanghai,上海
2025-03-23,#81CB31,很低,101110401,不易引发过敏反应。,yulin,榆林
2025-03-22,#81CB31,很低,101110401,不易引发过敏反应。,yulin,榆林
2025-03-21,#81CB31,很低,101110401,不易引发过敏反应。,yulin,榆林
2025-03-20,#81CB31,很低,101110401,不易引发过敏反应。,yulin,榆林
2025-03-19,#81CB31,很低,101110401,不易引发过敏反应。,yulin,榆林
2025-03-18,#999999,未检测到花粉,101110401,,yulin,榆林
2025-03-17,#81CB31,很低,101110401,不易引发过敏反应。,yulin,榆林
2025-03-16,#81CB31,很低,101110401,不易引发过敏反应。,yulin,榆林
2025-03-23,#FFAF13,高,101180101,易引发过敏，加强防护，规范用药。,zhengzhou,郑州
2025-03-22,#F5EE32,中,101180101,易引发过敏，加强防护，对症用药。,zhengzhou,郑州
2025-03-21,#F5EE32,中,101180101,易引发过敏，加强防护，对症用药。,zhengzhou,郑州
2025-03-20,#F5EE32,中,101180101,易引发过敏，加强防护，对症用药。,zhengzhou,郑州
2025-03-19,#A1FF3D,低,101180101,易引发轻度过敏，适当防护对症用药。,zhengzhou,郑州
2025-03-18,#81CB31,很低,101180101,不易引发过敏反应。,zhengzhou,郑州
2025-03-17,#A1FF3D,低,101180101,易引发轻度过敏，适当防护对症用药。,zhengzhou,郑州
2025-03-16,#81CB31,很低,101180101,不易引发过敏反应。,zhengzhou,郑州
