日期,城市,花粉等级,等级描述,颜色代码,城市ID,城市代码
2025-03-18,海口,低,花粉浓度低，仅对极敏感人群有影响,#A1FF3D,35,CN35
2025-03-18,乌鲁木齐,很低,花粉浓度很低，几乎不会引起过敏反应,#81CB31,4584,CN4584
2025-03-18,西宁,低,花粉浓度低，仅对极敏感人群有影响,#A1FF3D,95,CN95
2025-03-18,烟台,很高,花粉浓度很高，过敏症状可能加剧,#FF2319,58,CN58
2025-03-18,北京,中,花粉浓度中等，可能导致轻微过敏反应,#FFE91F,1,CN1
2025-03-18,榆林,较低,花粉浓度较低，可能对敏感人群有轻微影响,#A1FF3D,49,CN49
2025-03-18,保定,很高,花粉浓度很高，过敏症状可能加剧,#FF2319,50,CN50
2025-03-18,绍兴,暂无,暂无花粉数据,#C4A39F,12,CN12
2025-03-18,哈尔滨,较低,花粉浓度较低，可能对敏感人群有轻微影响,#A1FF3D,422,CN422
2025-03-18,温州,高,花粉浓度高，大多数花粉过敏者会出现症状,#FFAF13,10,CN10
2025-03-18,银川,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,49,CN49
2025-03-18,合肥,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,23,CN23
2025-03-18,南京,很低,花粉浓度很低，几乎不会引起过敏反应,#81CB31,50,CN50
2025-03-18,青岛,较高,花粉浓度较高，几乎所有花粉过敏者都会有症状,#FFAF13,87,CN87
2025-03-18,广州,较低,花粉浓度较低，可能对敏感人群有轻微影响,#A1FF3D,10,CN10
2025-03-18,延安,偏高,花粉浓度偏高，敏感人群可能出现明显症状,#F5EE32,03,CN03
2025-03-18,天津,高,花粉浓度高，大多数花粉过敏者会出现症状,#FFAF13,51,CN51
2025-03-18,长春,很高,花粉浓度很高，过敏症状可能加剧,#FF2319,19,CN19
2025-03-18,呼和浩特,很低,花粉浓度很低，几乎不会引起过敏反应,#81CB31,8495,CN8495
2025-03-18,扬州,较低,花粉浓度较低，可能对敏感人群有轻微影响,#A1FF3D,60,CN60
2025-03-18,佛山,较高,花粉浓度较高，几乎所有花粉过敏者都会有症状,#FFAF13,55,CN55
2025-03-18,深圳,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,53,CN53
2025-03-18,石家庄,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,786,CN786
2025-03-18,拉萨,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,92,CN92
2025-03-18,常州,高,花粉浓度高，大多数花粉过敏者会出现症状,#FFAF13,00,CN00
2025-03-18,承德,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,53,CN53
2025-03-19,海口,较低,花粉浓度较低，可能对敏感人群有轻微影响,#A1FF3D,35,CN35
2025-03-19,乌鲁木齐,较高,花粉浓度较高，几乎所有花粉过敏者都会有症状,#FFAF13,4584,CN4584
2025-03-19,西宁,低,花粉浓度低，仅对极敏感人群有影响,#A1FF3D,95,CN95
2025-03-19,烟台,暂无,暂无花粉数据,#C4A39F,58,CN58
2025-03-19,榆林,低,花粉浓度低，仅对极敏感人群有影响,#A1FF3D,49,CN49
2025-03-19,保定,高,花粉浓度高，大多数花粉过敏者会出现症状,#FFAF13,50,CN50
2025-03-19,绍兴,较低,花粉浓度较低，可能对敏感人群有轻微影响,#A1FF3D,12,CN12
2025-03-19,哈尔滨,偏高,花粉浓度偏高，敏感人群可能出现明显症状,#F5EE32,422,CN422
2025-03-19,温州,低,花粉浓度低，仅对极敏感人群有影响,#A1FF3D,10,CN10
2025-03-19,银川,暂无,暂无花粉数据,#C4A39F,49,CN49
2025-03-19,合肥,低,花粉浓度低，仅对极敏感人群有影响,#A1FF3D,23,CN23
2025-03-19,南京,偏高,花粉浓度偏高，敏感人群可能出现明显症状,#F5EE32,50,CN50
2025-03-19,青岛,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,87,CN87
2025-03-19,广州,偏高,花粉浓度偏高，敏感人群可能出现明显症状,#F5EE32,10,CN10
2025-03-19,延安,偏高,花粉浓度偏高，敏感人群可能出现明显症状,#F5EE32,03,CN03
2025-03-19,天津,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,51,CN51
2025-03-19,长春,高,花粉浓度高，大多数花粉过敏者会出现症状,#FFAF13,19,CN19
2025-03-19,呼和浩特,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,8495,CN8495
2025-03-19,扬州,很低,花粉浓度很低，几乎不会引起过敏反应,#81CB31,60,CN60
2025-03-19,佛山,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,55,CN55
2025-03-19,深圳,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,53,CN53
2025-03-19,石家庄,很低,花粉浓度很低，几乎不会引起过敏反应,#81CB31,786,CN786
2025-03-19,拉萨,暂无,暂无花粉数据,#C4A39F,92,CN92
2025-03-19,常州,低,花粉浓度低，仅对极敏感人群有影响,#A1FF3D,00,CN00
2025-03-19,承德,较高,花粉浓度较高，几乎所有花粉过敏者都会有症状,#FFAF13,53,CN53
2025-03-19,北京,中,花粉浓度中等，可能导致轻微过敏反应,#FFE91F,1,CN1
2025-03-19,合肥,低,花粉浓度低，仅对极敏感人群有影响,#A1FF3D,13,CN13
2025-03-19,拉萨,低,花粉浓度低，仅对极敏感人群有影响,#A1FF3D,70,CN70
2025-03-19,石家庄,中,花粉浓度中等，可能导致轻微过敏反应,#FFE91F,31,CN31
2025-03-19,青岛,中,花粉浓度中等，可能导致轻微过敏反应,#FFE91F,44,CN44
2025-03-19,北京,高,花粉浓度高，可能导致显著过敏反应,#FF642E,1,CN1
2025-03-19,广州,中,花粉浓度中等，可能导致轻微过敏反应,#FFE91F,36,CN36
2025-03-19,深圳,很高,花粉浓度很高，过敏症状可能加剧,#FF2319,37,CN37
2025-03-19,榆林,低,花粉浓度低，仅对极敏感人群有影响,#A1FF3D,62,CN62
2025-03-19,扬州,低,花粉浓度低，仅对极敏感人群有影响,#A1FF3D,20,CN20
2025-03-19,北京,很高,花粉浓度很高，过敏症状可能加剧,#FF2319,1,CN1
2025-03-20,海口,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,35,CN35
2025-03-20,乌鲁木齐,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,4584,CN4584
2025-03-20,西宁,偏高,花粉浓度偏高，敏感人群可能出现明显症状,#F5EE32,95,CN95
2025-03-20,烟台,较高,花粉浓度较高，几乎所有花粉过敏者都会有症状,#FFAF13,58,CN58
2025-03-20,榆林,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,49,CN49
2025-03-20,保定,较低,花粉浓度较低，可能对敏感人群有轻微影响,#A1FF3D,50,CN50
2025-03-20,绍兴,较低,花粉浓度较低，可能对敏感人群有轻微影响,#A1FF3D,12,CN12
2025-03-20,哈尔滨,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,422,CN422
2025-03-20,温州,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,10,CN10
2025-03-20,银川,低,花粉浓度低，仅对极敏感人群有影响,#A1FF3D,49,CN49
2025-03-20,合肥,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,23,CN23
2025-03-20,南京,极高,花粉浓度极高，过敏症状严重,#FF2319,50,CN50
2025-03-20,青岛,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,87,CN87
2025-03-20,广州,偏高,花粉浓度偏高，敏感人群可能出现明显症状,#F5EE32,10,CN10
2025-03-20,延安,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,03,CN03
2025-03-20,天津,低,花粉浓度低，仅对极敏感人群有影响,#A1FF3D,51,CN51
2025-03-20,长春,较低,花粉浓度较低，可能对敏感人群有轻微影响,#A1FF3D,19,CN19
2025-03-20,呼和浩特,偏高,花粉浓度偏高，敏感人群可能出现明显症状,#F5EE32,8495,CN8495
2025-03-20,扬州,较低,花粉浓度较低，可能对敏感人群有轻微影响,#A1FF3D,60,CN60
2025-03-20,佛山,高,花粉浓度高，大多数花粉过敏者会出现症状,#FFAF13,55,CN55
2025-03-20,深圳,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,53,CN53
2025-03-20,石家庄,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,786,CN786
2025-03-20,拉萨,低,花粉浓度低，仅对极敏感人群有影响,#A1FF3D,92,CN92
2025-03-20,常州,较高,花粉浓度较高，几乎所有花粉过敏者都会有症状,#FFAF13,00,CN00
2025-03-20,承德,低,花粉浓度低，仅对极敏感人群有影响,#A1FF3D,53,CN53
2025-03-20,北京,高,花粉浓度高，可能导致显著过敏反应,#FF642E,22,CN22
2025-03-20,长春,中,花粉浓度中等，可能导致轻微过敏反应,#FFE91F,6,CN6
2025-03-20,哈尔滨,很低,花粉浓度很低，几乎不会引起过敏反应,#81CB31,7,CN7
2025-03-20,温州,很高,花粉浓度很高，过敏症状可能加剧,#FF2319,23,CN23
2025-03-20,北京,高,花粉浓度高，可能导致显著过敏反应,#FF642E,1,CN1
2025-03-21,海口,偏高,花粉浓度偏高，敏感人群可能出现明显症状,#F5EE32,35,CN35
2025-03-21,乌鲁木齐,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,4584,CN4584
2025-03-21,西宁,低,花粉浓度低，仅对极敏感人群有影响,#A1FF3D,95,CN95
2025-03-21,烟台,低,花粉浓度低，仅对极敏感人群有影响,#A1FF3D,58,CN58
2025-03-21,榆林,极高,花粉浓度极高，过敏症状严重,#FF2319,49,CN49
2025-03-21,保定,较低,花粉浓度较低，可能对敏感人群有轻微影响,#A1FF3D,50,CN50
2025-03-21,绍兴,很低,花粉浓度很低，几乎不会引起过敏反应,#81CB31,12,CN12
2025-03-21,哈尔滨,很高,花粉浓度很高，过敏症状可能加剧,#FF2319,422,CN422
2025-03-21,温州,高,花粉浓度高，大多数花粉过敏者会出现症状,#FFAF13,10,CN10
2025-03-21,银川,很高,花粉浓度很高，过敏症状可能加剧,#FF2319,49,CN49
2025-03-21,合肥,偏高,花粉浓度偏高，敏感人群可能出现明显症状,#F5EE32,23,CN23
2025-03-21,南京,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,50,CN50
2025-03-21,青岛,较高,花粉浓度较高，几乎所有花粉过敏者都会有症状,#FFAF13,87,CN87
2025-03-21,广州,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,10,CN10
2025-03-21,延安,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,03,CN03
2025-03-21,天津,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,51,CN51
2025-03-21,长春,暂无,暂无花粉数据,#C4A39F,19,CN19
2025-03-21,呼和浩特,较低,花粉浓度较低，可能对敏感人群有轻微影响,#A1FF3D,8495,CN8495
2025-03-21,扬州,很高,花粉浓度很高，过敏症状可能加剧,#FF2319,60,CN60
2025-03-21,佛山,很高,花粉浓度很高，过敏症状可能加剧,#FF2319,55,CN55
2025-03-21,深圳,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,53,CN53
2025-03-21,石家庄,较低,花粉浓度较低，可能对敏感人群有轻微影响,#A1FF3D,786,CN786
2025-03-21,拉萨,暂无,暂无花粉数据,#C4A39F,92,CN92
2025-03-21,常州,偏高,花粉浓度偏高，敏感人群可能出现明显症状,#F5EE32,00,CN00
2025-03-21,承德,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,53,CN53
2025-03-21,北京,很高,花粉浓度很高，过敏症状可能加剧,#FF2319,1,CN1
2025-03-22,海口,低,花粉浓度低，仅对极敏感人群有影响,#A1FF3D,35,CN35
2025-03-22,乌鲁木齐,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,4584,CN4584
2025-03-22,西宁,较低,花粉浓度较低，可能对敏感人群有轻微影响,#A1FF3D,95,CN95
2025-03-22,烟台,较高,花粉浓度较高，几乎所有花粉过敏者都会有症状,#FFAF13,58,CN58
2025-03-22,榆林,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,49,CN49
2025-03-22,保定,低,花粉浓度低，仅对极敏感人群有影响,#A1FF3D,50,CN50
2025-03-22,绍兴,偏高,花粉浓度偏高，敏感人群可能出现明显症状,#F5EE32,12,CN12
2025-03-22,哈尔滨,较低,花粉浓度较低，可能对敏感人群有轻微影响,#A1FF3D,422,CN422
2025-03-22,温州,偏高,花粉浓度偏高，敏感人群可能出现明显症状,#F5EE32,10,CN10
2025-03-22,银川,偏高,花粉浓度偏高，敏感人群可能出现明显症状,#F5EE32,49,CN49
2025-03-22,合肥,高,花粉浓度高，大多数花粉过敏者会出现症状,#FFAF13,23,CN23
2025-03-22,南京,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,50,CN50
2025-03-22,青岛,高,花粉浓度高，大多数花粉过敏者会出现症状,#FFAF13,87,CN87
2025-03-22,广州,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,10,CN10
2025-03-22,延安,较高,花粉浓度较高，几乎所有花粉过敏者都会有症状,#FFAF13,03,CN03
2025-03-22,天津,低,花粉浓度低，仅对极敏感人群有影响,#A1FF3D,51,CN51
2025-03-22,长春,较低,花粉浓度较低，可能对敏感人群有轻微影响,#A1FF3D,19,CN19
2025-03-22,呼和浩特,偏高,花粉浓度偏高，敏感人群可能出现明显症状,#F5EE32,8495,CN8495
2025-03-22,扬州,高,花粉浓度高，大多数花粉过敏者会出现症状,#FFAF13,60,CN60
2025-03-22,佛山,较低,花粉浓度较低，可能对敏感人群有轻微影响,#A1FF3D,55,CN55
2025-03-22,深圳,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,53,CN53
2025-03-22,石家庄,低,花粉浓度低，仅对极敏感人群有影响,#A1FF3D,786,CN786
2025-03-22,拉萨,中,花粉浓度中等，敏感人群可能出现症状,#F5EE32,92,CN92
2025-03-22,常州,高,花粉浓度高，大多数花粉过敏者会出现症状,#FFAF13,00,CN00
2025-03-22,承德,较高,花粉浓度较高，几乎所有花粉过敏者都会有症状,#FFAF13,53,CN53
2025-03-22,北京,很高,花粉浓度很高，过敏症状可能加剧,#FF2319,1,CN1
2025-03-22,天津,中,花粉浓度中等，可能导致轻微过敏反应,#FFE91F,3,CN3
2025-03-22,呼和浩特,高,花粉浓度高，可能导致显著过敏反应,#FF642E,10,CN10
2025-03-22,绍兴,高,花粉浓度高，可能导致显著过敏反应,#FF642E,25,CN25
2025-03-22,延安,低,花粉浓度低，仅对极敏感人群有影响,#A1FF3D,60,CN60
2025-03-22,北京,很高,花粉浓度很高，过敏症状可能加剧,#FF2319,1,CN1
